Aralık,Pozitif Yorum,Pozitif Yorum Sayısı,Negatif Yorum,Negatif Yorum Sayısı,Üniversiteler,Pozitif Yüzde,Negatif Yüzde
0-219,Pozitif yorum sayısı,193,Negatif yorum sayısı,26,Gebze Teknik Üniversitesi,88.12785388127854,11.87214611872146
220-812,Pozitif yorum sayısı,515,Negatif yorum sayısı,77,İstanbul Teknik Üniversitesi,86.99324324324324,13.006756756756758
813-915,Pozitif yorum sayısı,91,Negatif yorum sayısı,11,Çukurova Üniversitesi,89.2156862745098,10.784313725490197
928-953,Pozitif yorum sayısı,20,Negatif yorum sayısı,5,Afyon Kocatepe Üniversitesi,80.0,20.0
972-1002,Pozitif yorum sayısı,22,Negatif yorum sayısı,8,Aksaray Üniversitesi,73.33333333333333,26.666666666666668
1018-1160,Pozitif yorum sayısı,116,Negatif yorum sayısı,26,Ankara Üniversitesi,81.69014084507043,18.30985915492958
1182-1286,Pozitif yorum sayısı,86,Negatif yorum sayısı,18,Hacı bayram veli Üniversitesi,82.6923076923077,17.307692307692307
1287-1315,Pozitif yorum sayısı,25,Negatif yorum sayısı,3,Ankara Sosyal Bilimler Üniversitesi,89.28571428571429,10.714285714285714
1316-1492,Pozitif yorum sayısı,150,Negatif yorum sayısı,26,Gazi Üniversitesi,85.22727272727273,14.772727272727272
1493-2081,Pozitif yorum sayısı,522,Negatif yorum sayısı,66,Hacettepe Üniversitesi,88.77551020408163,11.224489795918368
2082-3378,Pozitif yorum sayısı,1139,Negatif yorum sayısı,157,Orta Doğu Teknik Üniversitesi,87.8858024691358,12.114197530864198
3379-3459,Pozitif yorum sayısı,67,Negatif yorum sayısı,13,Ankara Yıldırım Beyazıt Üniversitesi,83.75,16.25
3492-3566,Pozitif yorum sayısı,67,Negatif yorum sayısı,7,Atılım Üniversitesi,90.54054054054052,9.45945945945946
3567-3657,Pozitif yorum sayısı,81,Negatif yorum sayısı,9,Başkent Üniversitesi,90.0,10.0
3658-3735,Pozitif yorum sayısı,67,Negatif yorum sayısı,10,Çankaya Üniversitesi,87.01298701298701,12.987012987012983
3736-4706,Pozitif yorum sayısı,878,Negatif yorum sayısı,92,Bilkent Üniversitesi,90.51546391752578,9.484536082474229
4722-4817,Pozitif yorum sayısı,83,Negatif yorum sayısı,12,Ostim Teknik Üniversitesi,87.36842105263159,12.63157894736842
4818-4869,Pozitif yorum sayısı,45,Negatif yorum sayısı,6,TED Üniversitesi,88.23529411764706,11.76470588235294
4870-4979,Pozitif yorum sayısı,95,Negatif yorum sayısı,14,TOBB Üniversitesi,87.1559633027523,12.844036697247708
4994-5026,Pozitif yorum sayısı,28,Negatif yorum sayısı,4,Türk Hava Kurumu Üniversitesi,87.5,12.5
5035-5254,Pozitif yorum sayısı,185,Negatif yorum sayısı,34,Akdeniz Üniversitesi,84.47488584474885,15.52511415525114
